Source,Target
Antonio Iván Ruiz Chaveco,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Antonio Iván Ruiz Chaveco,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Antonio Iván Ruiz Chaveco,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Antonio Iván Ruiz Chaveco,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Antonio Iván Ruiz Chaveco,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Antonio Iván Ruiz Chaveco,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Roberto Labrada-Claro,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Roberto Labrada-Claro,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Roberto Labrada-Claro,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Roberto Labrada-Claro,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Roberto Labrada-Claro,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Roberto Labrada-Claro,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Erick Eduardo Ramirez-Torres,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Erick Eduardo Ramirez-Torres,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Erick Eduardo Ramirez-Torres,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Erick Eduardo Ramirez-Torres,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Erick Eduardo Ramirez-Torres,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Erick Eduardo Ramirez-Torres,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Antonio Rafael Selva Castañeda,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Antonio Rafael Selva Castañeda,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Antonio Rafael Selva Castañeda,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Antonio Rafael Selva Castañeda,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Antonio Rafael Selva Castañeda,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Antonio Rafael Selva Castañeda,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Marlon Cobas-Batista,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Marlon Cobas-Batista,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Marlon Cobas-Batista,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Marlon Cobas-Batista,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Marlon Cobas-Batista,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Marlon Cobas-Batista,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Annia Ruiz Sánchez,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Annia Ruiz Sánchez,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Annia Ruiz Sánchez,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Annia Ruiz Sánchez,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Annia Ruiz Sánchez,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Annia Ruiz Sánchez,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Luis Enrique Bergues Cabrales,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Luis Enrique Bergues Cabrales,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Luis Enrique Bergues Cabrales,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Luis Enrique Bergues Cabrales,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Luis Enrique Bergues Cabrales,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Luis Enrique Bergues Cabrales,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Luis Eugenio Valdés García,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Luis Eugenio Valdés García,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Luis Eugenio Valdés García,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Luis Eugenio Valdés García,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Luis Eugenio Valdés García,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Luis Eugenio Valdés García,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Santiago de Cuba, Cuba"
Mijail Borges Quintana,"Dirección de Informatización, Universidad de Oriente, Santiago de Cuba, Cuba"
Eloy Rafael Oliveros Domínguez,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Santiago de Cuba, Cuba"
Eloy Rafael Oliveros Domínguez,"Dirección de Informatización, Universidad de Oriente, Santiago de Cuba, Cuba"
Yaidir Mustelier Ruiz,Instituto de Criptografía
Yaidir Mustelier Ruiz,Universidad de la Habana
Yaidir Mustelier Ruiz,Cuba
Yaidir Mustelier Ruiz,Facultad de Matemática y Computación
DraC Teresa Bernarda Pagés López,Instituto de Criptografía
DraC Teresa Bernarda Pagés López,Universidad de la Habana
DraC Teresa Bernarda Pagés López,Cuba
DraC Teresa Bernarda Pagés López,Facultad de Matemática y Computación
Yavseny Roque Hernández,Instituto de Criptografía
Yavseny Roque Hernández,Universidad de la Habana
Yavseny Roque Hernández,Cuba
Yavseny Roque Hernández,Facultad de Matemática y Computación
Adrian Donatien Charón,"DepartamentodeEducaciónenMatemática,UniversidadAntonioNariño,Bogota,Colombia"
Adrian Donatien Charón,"DepartamentodeMatemática,UniversidaddeOriente,SantiagodeCuba,Cuba"
Mijail Borges Quintana,"DepartamentodeEducaciónenMatemática,UniversidadAntonioNariño,Bogota,Colombia"
Mijail Borges Quintana,"DepartamentodeMatemática,UniversidaddeOriente,SantiagodeCuba,Cuba"
Miguel Angel Borges Trenard,"DepartamentodeEducaciónenMatemática,UniversidadAntonioNariño,Bogota,Colombia"
Miguel Angel Borges Trenard,"DepartamentodeMatemática,UniversidaddeOriente,SantiagodeCuba,Cuba"
Pedro Enrique Navarro Sosa,"Facultad de Ingenier´ıa Informa´tica, Universidad Tecnolo´gica de La Habana, La Habana, Cuba"
Pedro Enrique Navarro Sosa,"Instituto de Criptograf´ıa, Universidad de La Habana, La Habana, Cuba"
Raisa Socorro Llanes,"Facultad de Ingenier´ıa Informa´tica, Universidad Tecnolo´gica de La Habana, La Habana, Cuba"
Raisa Socorro Llanes,"Instituto de Criptograf´ıa, Universidad de La Habana, La Habana, Cuba"
Carlos Miguel Legón Pérez,"Facultad de Ingenier´ıa Informa´tica, Universidad Tecnolo´gica de La Habana, La Habana, Cuba"
Carlos Miguel Legón Pérez,"Instituto de Criptograf´ıa, Universidad de La Habana, La Habana, Cuba"
Roberto Labrada Claro,"Dirección de Criptografía, Ministerio del Interior, Santiago de Cuba, Cuba"
Roberto Labrada Claro,"Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba"
Mijail Borges Quintana,"Dirección de Criptografía, Ministerio del Interior, Santiago de Cuba, Cuba"
Mijail Borges Quintana,"Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba"
Miguel Angel Borges Trenard,"Dirección de Criptografía, Ministerio del Interior, Santiago de Cuba, Cuba"
Miguel Angel Borges Trenard,"Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba"
Camilo Denis González,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba"
DraC Teresa Bernarda Pagés López,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba"
Arlet Ponce Alvarez,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba"
Yessica Caridad Castan˜o Sainz,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba"
Osmani Tito Corrioso,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba"
Osmani Tito Corrioso,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba"
Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Miguel Angel Borges Trenard,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba"
Miguel Angel Borges Trenard,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Osmani Tito Corrioso,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba"
Osmani Tito Corrioso,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba"
Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Miguel Angel Borges Trenard,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba"
Miguel Angel Borges Trenard,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
DraC Teresa Bernarda Pagés López,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba"
Yessica Caridad Castan˜o Sainz,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba"
Carlos Miguel Legón Pérez,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba"
DraC Teresa Bernarda Pagés López,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba"
Yessica Caridad Castan˜o Sainz,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba"
Carlos Miguel Legón Pérez,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba"
Dr.C. José Fidel Hernández Advíncula,"DepartamentodeMatemática,UniversidaddeLaHabana,Cuba"
Beatriz de Rancell Montero Deus,"DepartamentodeMatemática,UniversidaddeLaHabana,Cuba"
Vivian Plasencia Calaña,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba"
Vivian Plasencia Calaña,Trabajador por cuenta propia
Aracelys García Armenteros,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba"
Aracelys García Armenteros,Trabajador por cuenta propia
Joanna Campbell Amos,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba"
Joanna Campbell Amos,Trabajador por cuenta propia
Nelson Tomás Hernández Reyes,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Nelson Tomás Hernández Reyes,"Centro de Estudio de Matemática para Ciencias Técnicas, Universidad Tecnológica de la Habana ""José Antonio Echevarria"", La Habana, Cuba"
Nelson Tomás Hernández Reyes,"Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba"
Nelson Tomás Hernández Reyes,"Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
María del Carmen Rivalta Valladares,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
María del Carmen Rivalta Valladares,"Centro de Estudio de Matemática para Ciencias Técnicas, Universidad Tecnológica de la Habana ""José Antonio Echevarria"", La Habana, Cuba"
María del Carmen Rivalta Valladares,"Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba"
María del Carmen Rivalta Valladares,"Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Ernesto A. López Cadalso,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Ernesto A. López Cadalso,"Centro de Estudio de Matemática para Ciencias Técnicas, Universidad Tecnológica de la Habana ""José Antonio Echevarria"", La Habana, Cuba"
Ernesto A. López Cadalso,"Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba"
Ernesto A. López Cadalso,"Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Yasser Martin Guillén,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Yasser Martin Guillén,"Centro de Estudio de Matemática para Ciencias Técnicas, Universidad Tecnológica de la Habana ""José Antonio Echevarria"", La Habana, Cuba"
Yasser Martin Guillén,"Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba"
Yasser Martin Guillén,"Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Mercedes M. Leal Acosta,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Mercedes M. Leal Acosta,"Centro de Estudio de Matemática para Ciencias Técnicas, Universidad Tecnológica de la Habana ""José Antonio Echevarria"", La Habana, Cuba"
Mercedes M. Leal Acosta,"Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba"
Mercedes M. Leal Acosta,"Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba"
Antonio Iván Ruiz Chaveco,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Antonio Iván Ruiz Chaveco,"University of the State of Amazonas, Brazil"
Antonio Iván Ruiz Chaveco,Mathematics department. Faculty of Education Sciences. Guantánamo University. Cuba
Antonio Iván Ruiz Chaveco,"Mathematics department. Faculty of Natural and Exact Sciences, University of Oriente. Santiago de Cuba, Cuba"
Sandy Sánchez Domínguez,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Sandy Sánchez Domínguez,"University of the State of Amazonas, Brazil"
Sandy Sánchez Domínguez,Mathematics department. Faculty of Education Sciences. Guantánamo University. Cuba
Sandy Sánchez Domínguez,"Mathematics department. Faculty of Natural and Exact Sciences, University of Oriente. Santiago de Cuba, Cuba"
Annia Valiente Monte de Oca,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Annia Valiente Monte de Oca,"University of the State of Amazonas, Brazil"
Annia Valiente Monte de Oca,Mathematics department. Faculty of Education Sciences. Guantánamo University. Cuba
Annia Valiente Monte de Oca,"Mathematics department. Faculty of Natural and Exact Sciences, University of Oriente. Santiago de Cuba, Cuba"
Isabel Martén Powell,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Isabel Martén Powell,"University of the State of Amazonas, Brazil"
Isabel Martén Powell,Mathematics department. Faculty of Education Sciences. Guantánamo University. Cuba
Isabel Martén Powell,"Mathematics department. Faculty of Natural and Exact Sciences, University of Oriente. Santiago de Cuba, Cuba"
Éfren Vázquez Silva,"DepartamentodeMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Éfren Vázquez Silva,"Universidad Polite´cnica Salesiana, Sede Cuenca. Carrera de Ingenier´ıa Meca´nica. Campus El Vecino. Calle Vieja, 12-30y Elia Liut, Cuenca, Ecuador"
Éfren Vázquez Silva,"DepartamentodeLicenciaturaenMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Rosa Isabel Urquiza Salgado,"DepartamentodeMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Rosa Isabel Urquiza Salgado,"Universidad Polite´cnica Salesiana, Sede Cuenca. Carrera de Ingenier´ıa Meca´nica. Campus El Vecino. Calle Vieja, 12-30y Elia Liut, Cuenca, Ecuador"
Rosa Isabel Urquiza Salgado,"DepartamentodeLicenciaturaenMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Rafael M. Ávila Ávila,"DepartamentodeMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Rafael M. Ávila Ávila,"Universidad Polite´cnica Salesiana, Sede Cuenca. Carrera de Ingenier´ıa Meca´nica. Campus El Vecino. Calle Vieja, 12-30y Elia Liut, Cuenca, Ecuador"
Rafael M. Ávila Ávila,"DepartamentodeLicenciaturaenMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Camilo Mora Batista,"DepartamentodeMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Camilo Mora Batista,"Universidad Polite´cnica Salesiana, Sede Cuenca. Carrera de Ingenier´ıa Meca´nica. Campus El Vecino. Calle Vieja, 12-30y Elia Liut, Cuenca, Ecuador"
Camilo Mora Batista,"DepartamentodeLicenciaturaenMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba"
Luis Manuel Ávila Nápolez,"FacultaddeMatema´tica,UniversidadAuto´nomadeGuerrero,Guerrero,Me´xico"
Luis Manuel Ávila Nápolez,"DepartamentodeMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba"
Luis Manuel Ávila Nápolez,"DepartamentodeLicenciaturaenMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba"
Ricardo Abreu Blaya,"FacultaddeMatema´tica,UniversidadAuto´nomadeGuerrero,Guerrero,Me´xico"
Ricardo Abreu Blaya,"DepartamentodeMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba"
Ricardo Abreu Blaya,"DepartamentodeLicenciaturaenMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba"
Rafael M. Ávila Ávila,"FacultaddeMatema´tica,UniversidadAuto´nomadeGuerrero,Guerrero,Me´xico"
Rafael M. Ávila Ávila,"DepartamentodeMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba"
Rafael M. Ávila Ávila,"DepartamentodeLicenciaturaenMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba"
Dr.C. José Fidel Hernández Advíncula,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
Dr.C. José Fidel Hernández Advíncula,"Departamento de Matemática-Física, Universidad 'José Martí' de Sancti Spíritus, Sancti Spíritus, Cuba"
MSc. Beatriz Pérez López,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba"
MSc. Beatriz Pérez López,"Departamento de Matemática-Física, Universidad 'José Martí' de Sancti Spíritus, Sancti Spíritus, Cuba"
Frankie Mujica Cal,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba"
Joanna Campbell Amos,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba"
Eduardo Quesada Orozco,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba"
Dra. Marta Lourdes Baguer Díaz-Romañach,"Facultad de Artes y Letras, Universidad de La Habana, La Habana, Cuba"
Dra. Marta Lourdes Baguer Díaz-Romañach,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Iosvanny Jesús Alfonso Veloso,"Facultad de Artes y Letras, Universidad de La Habana, La Habana, Cuba"
Iosvanny Jesús Alfonso Veloso,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Dra. Lydia Castro Odio,"Facultad de Artes y Letras, Universidad de La Habana, La Habana, Cuba"
Dra. Lydia Castro Odio,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Miguel Angel Borges Trenard,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de Oriente"
Juana E. Bermúdez Sosa,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de Oriente"
Luis A. Salomón Hernández,"Instituto de Cibernética, Matemática y Física (ICIMAF)"
Luis A. Salomón Hernández,"Departamento de Matemática Aplicada, Universidad de la Habana, Facultad de Matemática y Computación"
Rolando J. Biscay Lirio,"Instituto de Cibernética, Matemática y Física (ICIMAF)"
Rolando J. Biscay Lirio,"Departamento de Matemática Aplicada, Universidad de la Habana, Facultad de Matemática y Computación"
Lilian Muñiz Álvarez,"Facultad de Matemática y Computación, Universidad de La Habana"
Lilian Muñiz Álvarez,"Instituto de Cibernética, Matemática y Física (ICIMAF)"
Rolando J. Biscay Lirio,"Facultad de Matemática y Computación, Universidad de La Habana"
Rolando J. Biscay Lirio,"Instituto de Cibernética, Matemática y Física (ICIMAF)"
Carlos Sánchez Fernández,Universidad de La Habana. Cuba
Jorge Erick López Velázquez,"Facultad de Matemática y Computación, Universidad de La Habana, Ciudad de La Habana, Cuba"
Reinaldo Rodr(cid:237)guez Ramos,"Facultad de Matemática y Computación, Universidad de La Habana, Ciudad de La Habana, Cuba"
Julián Bravo Castillero,"Facultad de Matemática y Computación, Universidad de La Habana, Ciudad de La Habana, Cuba"
Pedro Domínguez Wade,"Universidad Pedagógica de Villa Clara, Cuba"
Pedro Domínguez Wade,"Universidad de Matanzas, Cuba"
Jesús Barreto Molina,"Universidad Pedagógica de Villa Clara, Cuba"
Jesús Barreto Molina,"Universidad de Matanzas, Cuba"
Otilio B. Mederos Anoceto,"Universidad de Ciego de Ávila, Ciego de Ávila, Cuba"
Otilio B. Mederos Anoceto,"Departamento de Matemática, Universidad Central de Las Villas, Santa Clara, Villa Clara, Cuba"
Dr. Lorgio F. Batard Martínez,"Universidad de Ciego de Ávila, Ciego de Ávila, Cuba"
Dr. Lorgio F. Batard Martínez,"Departamento de Matemática, Universidad Central de Las Villas, Santa Clara, Villa Clara, Cuba"
Andro Gonzáles,"Universidad de Ciego de Ávila, Ciego de Ávila, Cuba"
Andro Gonzáles,"Departamento de Matemática, Universidad Central de Las Villas, Santa Clara, Villa Clara, Cuba"
Gladys Linares Fleites,"Facultad de Matemática y Computación, Universidad de La Habana"
María V. Mederos Brú,"Facultad de Matemática y Computación, Universidad de La Habana"
Dra. Elina Miret Barroso,"Facultad de Matemática y Computación, Universidad de La Habana"
Federico J. Sabina,"Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, México, D. F., México"
Federico J. Sabina,"Instituto Superior de Estudios Superiores de Monterrey, Campus, Estado de México, Escuela de Ingeniería y Computación, Estado de México, México"
Federico J. Sabina,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Raúl Martínez Rosado,"Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, México, D. F., México"
Raúl Martínez Rosado,"Instituto Superior de Estudios Superiores de Monterrey, Campus, Estado de México, Escuela de Ingeniería y Computación, Estado de México, México"
Raúl Martínez Rosado,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Esperanza García Santoyo,"Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, México, D. F., México"
Esperanza García Santoyo,"Instituto Superior de Estudios Superiores de Monterrey, Campus, Estado de México, Escuela de Ingeniería y Computación, Estado de México, México"
Esperanza García Santoyo,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Julián Bravo Castillero,"Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, México, D. F., México"
Julián Bravo Castillero,"Instituto Superior de Estudios Superiores de Monterrey, Campus, Estado de México, Escuela de Ingeniería y Computación, Estado de México, México"
Julián Bravo Castillero,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Reinaldo Rodr(cid:237)guez Ramos,"Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, México, D. F., México"
Reinaldo Rodr(cid:237)guez Ramos,"Instituto Superior de Estudios Superiores de Monterrey, Campus, Estado de México, Escuela de Ingeniería y Computación, Estado de México, México"
Reinaldo Rodr(cid:237)guez Ramos,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Concepción Valdés Castro,Universidad de la Habana
Rita A. Roldán Inguanzo,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Valentina Badía Albanés,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Prof. Dr. Luis Ramiro Piñeiro Díaz,"Instituto de Criptografía, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Alberto Fernández Oliva,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba"
Suilán Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba"
Kevin Talavera Díaz,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba"
Alberto Fernández Oliva,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba"
Suilán Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba"
Kevin Talavera Díaz,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba"
Guillermo Enrique Ramírez Montes,"Departamentode Educación Matemática, Universidad de Costa Rica, San José, Costa Rica"
Guillermo Enrique Ramírez Montes,"Departamentode Educación Matemática, Universidad de Costa Rica, San José, Costa Rica"
Adriana Díaz Cordero,"DepartamentodeMatemática,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,LaHabana,Cuba"
Valentina Badía Albanés,"DepartamentodeMatemática,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,LaHabana,Cuba"
Alberto Fernández Oliva,"DepartamentodeComputación,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,Cuba"
